"uri","label","category","main_tags","event_tags","architecture_tags"
"15/e1a12fb0-ac06-30d9-991a-5f6858ea31da","USV Canoë-Kayak","sport","EquipmentRentalShop;PlaceOfInterest;ServiceProvider;SportsAndLeisurePlace","AccompaniedPractice;EquipmentRental;FreePractice;IntroductionCourse;Practice;Product;Rental",""
"15/e1b77c46-a82e-334b-8a64-67c766352646","Clair Cottage","Hotel","Accommodation;Hotel;HotelTrade;PlaceOfInterest","",""
"15/e1bbdbb4-bc5a-3f91-a9e4-a96b144282ad","Villa à l'Ancien Pigeonnier - Appartement meublé","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/e1c9b704-da77-3699-a043-49ff0d22ffc5","Gîte de la Gare","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/e21c1032-9216-3f84-a2f2-b2c514cfad73","Gîte de la Merluchette","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/e28fdf33-239b-36a2-affb-86a0795011d7","Ibis budget blois","act","BusinessPlace;PlaceOfInterest","",""
"15/e2b8ade8-5281-3344-b1a5-d1847aa8fe7a","Au jardin de grand-père","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/e2ba1674-bc13-38e7-83e5-05703a7221b4","Les Agapanthes - Meublé Fougères","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/e2d604a3-379e-3c2c-b76c-902a04138e3c","Campanile","Hotel","Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant","",""
"15/e31eff42-085d-39b8-9123-59bf3fe882b1","La Maison Tourangelle","Resto","FoodEstablishment;PlaceOfInterest;Restaurant","",""
"15/e320bdba-0820-3946-b6e3-4ea38be5e1ac","La Chope","Resto","BrasserieOrTavern;FoodEstablishment;PlaceOfInterest;Restaurant","",""
"15/e357a882-31af-39d9-86ca-fba537ea2be5","Visites guidées à Amboise","act","CityHeritage;CulturalSite;PlaceOfInterest","","Renaissance"
"15/e37d50c4-3625-3e25-874a-a0b12b4e8a46","Le Clos Mariotte","gite","Accommodation;Guesthouse;PlaceOfInterest;RentalAccommodation","",""
"15/e387e7a2-1fc8-385b-8098-e047a83016fd","Hôtel du Manoir","Hotel","Accommodation;Hotel;HotelTrade;PlaceOfInterest","",""
"15/e3ae3fb8-b325-370b-aaaf-ffaadf7d5d87","L'Ermitage","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/e3c23795-3882-3c8b-8553-be34e53c7917","Hôtellerie du Cheval Blanc","Hotel","Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant","",""
"15/e3f1c293-0856-3f75-b33b-bfd3e38ba214","Le Clos Miniere","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/e406e4bb-412a-3c0d-9747-2d212d6cee70","Arboretum","park","CulturalSite;ParkAndGarden;PlaceOfInterest","",""
