uri,label,category,main_tags,event_tags,architecture_tags
15/275e8fbc-331a-3482-b25f-8f939ee18acf,Le Médicis - Restaurant,Hotel,Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant,"",""
15/2850749e-a8ea-3231-b279-bdcc08ec7e36,Hôtel de Laroche-Ploquin,Hotel,Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant,"",""
15/2b7d60fa-cd56-3ace-bae3-8120afd97a7c,Hôtel de France,Hotel,Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant,"",""
15/2cffcd9f-f1ba-338c-9757-1cc8f3d0f109,Hôtel Château de Chissay,Hotel,Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant,"",""
15/2d60b5ed-e40e-348c-8a8c-1411e2c9060e,Brit Hotel Blois - Le Préma,Hotel,Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant,"",""
15/2e102894-2008-3611-a287-71b6d31aad25,Le Relais Chenonceaux,Hotel,Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant,"",""
15/2f87908e-151b-32a1-bc9d-0c3048265fed,Hostellerie du Château - le restaurant,Hotel,Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant,"",""
15/30951ab7-7350-37e5-a326-f7b4228d2b72,Relais Touraine Sologne - le restaurant,Hotel,Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant,"",""
15/30f28156-d523-3a17-af47-4f515df15796,Les Terrasses du Luccotel,Hotel,Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant,"",""
15/321be15d-b4cd-3117-a001-e75ad79d5309,Domaine des Hautes Roches,Hotel,Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant,"",""
15/32f0e156-0e6e-3759-871e-056744f006b4,Hôtel de France,Hotel,Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant,"",""
15/34dcb60d-9e3e-3cb1-a791-bd8ba868d595,Le Colonial,Hotel,Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant,"",""
15/380f95ec-362c-3194-907c-8bac5121a955,Château de Beauvois,Hotel,Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant,"",""
15/3860a733-7a93-3999-97aa-16d3e3c68780,The Originals Tours Sud Ambacia,Hotel,Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant,"",""
15/38b60af4-2bf0-386f-90d9-78dbae511508,Hôtel Le Cosy Blois Nord,Hotel,Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant,"",""
15/3e580412-5e58-333d-a00a-9b3aba1e4a81,Les Trois Lys,Hotel,Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant,"",""
15/4102cffe-21aa-347a-a559-18b12dada79e,Restaurant l'Auberge du Mail,Hotel,Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant,"",""
15/42bd17e1-74ca-305a-8675-b4e826f1f202,Les Délices du Saint-Florent,Hotel,Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant,"",""
15/44a8e7ae-3bf2-3f6b-b4d8-bed09ee6d3cc,Relais et Châteaux Hôtel Les Hautes Roches,Hotel,Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant,"",""
15/1d8c4b46-1361-3359-900c-72743828b5eb,Aventure canoë sur le Cher,sport,EquipmentRentalShop;PlaceOfInterest;ServiceProvider;SportsAndLeisurePlace,AccompaniedPractice;Course;DevelopmentCourse;EquipmentRental;FirstPractice;FreePractice;IntroductionCourse;MultiActivity;Practice;Product;Rental,""
